diagnosed_date,detected_state,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_13,RH_14,China,USA,Middle_East,Europe_Ex_Italy,Italy,South_East_Asia,newCases,Recovered,Deceased,Lockdown
22-03-2020,Kerala,32.0,33.0,33.0,35.0,36.0,36.0,35.0,33.0,34.0,34.0,33.0,33.0,33.0,32.0,31.0,67.0,65.0,70.0,65.0,59.0,62.0,62.0,63.0,61.0,63.0,69.0,68.0,72.0,73.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
24-03-2020,Kerala,33.0,32.0,32.0,33.0,33.0,35.0,36.0,36.0,35.0,33.0,34.0,34.0,33.0,33.0,33.0,70.0,70.0,67.0,65.0,70.0,65.0,59.0,62.0,62.0,63.0,61.0,63.0,69.0,68.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
26-03-2020,Kerala,34.0,33.0,33.0,32.0,32.0,33.0,33.0,35.0,36.0,36.0,35.0,33.0,34.0,34.0,33.0,66.0,68.0,70.0,70.0,67.0,65.0,70.0,65.0,59.0,62.0,62.0,63.0,61.0,63.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
26-03-2020,Kerala,34.0,33.0,33.0,32.0,32.0,33.0,33.0,35.0,36.0,36.0,35.0,33.0,34.0,34.0,33.0,66.0,68.0,70.0,70.0,67.0,65.0,70.0,65.0,59.0,62.0,62.0,63.0,61.0,63.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
26-03-2020,Kerala,34.0,33.0,33.0,32.0,32.0,33.0,33.0,35.0,36.0,36.0,35.0,33.0,34.0,34.0,33.0,66.0,68.0,70.0,70.0,67.0,65.0,70.0,65.0,59.0,62.0,62.0,63.0,61.0,63.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
28-03-2020,Kerala,34.0,34.0,34.0,33.0,33.0,32.0,32.0,33.0,33.0,35.0,36.0,36.0,35.0,33.0,34.0,65.0,64.0,66.0,68.0,70.0,70.0,67.0,65.0,70.0,65.0,59.0,62.0,62.0,63.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0
29-03-2020,Kerala,34.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,33.0,33.0,35.0,36.0,36.0,35.0,33.0,67.0,65.0,64.0,66.0,68.0,70.0,70.0,67.0,65.0,70.0,65.0,59.0,62.0,62.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
01-04-2020,Kerala,35.0,35.0,35.0,34.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,33.0,33.0,35.0,36.0,62.0,66.0,66.0,67.0,65.0,64.0,66.0,68.0,70.0,70.0,67.0,65.0,70.0,65.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0
01-04-2020,Kerala,35.0,35.0,35.0,34.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,33.0,33.0,35.0,36.0,62.0,66.0,66.0,67.0,65.0,64.0,66.0,68.0,70.0,70.0,67.0,65.0,70.0,65.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0
02-04-2020,Kerala,36.0,35.0,35.0,35.0,34.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,33.0,33.0,35.0,65.0,62.0,66.0,66.0,67.0,65.0,64.0,66.0,68.0,70.0,70.0,67.0,65.0,70.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,1.0
06-04-2020,Kerala,35.0,35.0,36.0,34.0,36.0,35.0,35.0,35.0,34.0,34.0,34.0,34.0,33.0,33.0,32.0,69.0,67.0,67.0,66.0,65.0,62.0,66.0,66.0,67.0,65.0,64.0,66.0,68.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,1.0
06-04-2020,Kerala,35.0,35.0,36.0,34.0,36.0,35.0,35.0,35.0,34.0,34.0,34.0,34.0,33.0,33.0,32.0,69.0,67.0,67.0,66.0,65.0,62.0,66.0,66.0,67.0,65.0,64.0,66.0,68.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,1.0
07-04-2020,Kerala,32.0,35.0,35.0,36.0,34.0,36.0,35.0,35.0,35.0,34.0,34.0,34.0,34.0,33.0,33.0,80.0,69.0,67.0,67.0,66.0,65.0,62.0,66.0,66.0,67.0,65.0,64.0,66.0,68.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,1.0
24-03-2020,Kerala,32.0,32.0,32.0,31.0,31.0,33.0,33.0,32.0,32.0,33.0,32.0,32.0,32.0,33.0,33.0,65.0,68.0,67.0,68.0,68.0,58.0,49.0,51.0,57.0,59.0,55.0,55.0,65.0,63.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
25-03-2020,Kerala,31.0,32.0,32.0,32.0,31.0,31.0,33.0,33.0,32.0,32.0,33.0,32.0,32.0,32.0,33.0,59.0,65.0,68.0,67.0,68.0,68.0,58.0,49.0,51.0,57.0,59.0,55.0,55.0,65.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0
25-03-2020,Kerala,31.0,32.0,32.0,32.0,31.0,31.0,33.0,33.0,32.0,32.0,33.0,32.0,32.0,32.0,33.0,59.0,65.0,68.0,67.0,68.0,68.0,58.0,49.0,51.0,57.0,59.0,55.0,55.0,65.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0
28-03-2020,Kerala,34.0,33.0,33.0,31.0,32.0,32.0,32.0,31.0,31.0,33.0,33.0,32.0,32.0,33.0,32.0,56.0,56.0,59.0,59.0,65.0,68.0,67.0,68.0,68.0,58.0,49.0,51.0,57.0,59.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0
29-03-2020,Kerala,34.0,34.0,33.0,33.0,31.0,32.0,32.0,32.0,31.0,31.0,33.0,33.0,32.0,32.0,33.0,59.0,56.0,56.0,59.0,59.0,65.0,68.0,67.0,68.0,68.0,58.0,49.0,51.0,57.0,59.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
01-04-2020,Kerala,35.0,35.0,35.0,34.0,34.0,33.0,33.0,31.0,32.0,32.0,32.0,31.0,31.0,33.0,33.0,52.0,55.0,59.0,59.0,56.0,56.0,59.0,59.0,65.0,68.0,67.0,68.0,68.0,58.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0
04-04-2020,Kerala,36.0,34.0,35.0,35.0,35.0,35.0,34.0,34.0,33.0,33.0,31.0,32.0,32.0,32.0,31.0,60.0,58.0,56.0,52.0,55.0,59.0,59.0,56.0,56.0,59.0,59.0,65.0,68.0,67.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,1.0
08-03-2020,Kerala,32.0,32.0,31.0,30.0,31.0,31.0,31.0,31.0,30.0,30.0,32.0,31.0,31.0,30.0,33.0,71.0,71.0,72.0,83.0,73.0,73.0,65.0,63.0,60.0,64.0,66.0,64.0,62.0,64.0,59.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
08-03-2020,Kerala,32.0,32.0,31.0,30.0,31.0,31.0,31.0,31.0,30.0,30.0,32.0,31.0,31.0,30.0,33.0,71.0,71.0,72.0,83.0,73.0,73.0,65.0,63.0,60.0,64.0,66.0,64.0,62.0,64.0,59.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
08-03-2020,Kerala,32.0,32.0,31.0,30.0,31.0,31.0,31.0,31.0,30.0,30.0,32.0,31.0,31.0,30.0,33.0,71.0,71.0,72.0,83.0,73.0,73.0,65.0,63.0,60.0,64.0,66.0,64.0,62.0,64.0,59.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
08-03-2020,Kerala,32.0,32.0,31.0,30.0,31.0,31.0,31.0,31.0,30.0,30.0,32.0,31.0,31.0,30.0,33.0,71.0,71.0,72.0,83.0,73.0,73.0,65.0,63.0,60.0,64.0,66.0,64.0,62.0,64.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08-03-2020,Kerala,32.0,32.0,31.0,30.0,31.0,31.0,31.0,31.0,30.0,30.0,32.0,31.0,31.0,30.0,33.0,71.0,71.0,72.0,83.0,73.0,73.0,65.0,63.0,60.0,64.0,66.0,64.0,62.0,64.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-03-2020,Kerala,33.0,31.0,32.0,32.0,31.0,30.0,31.0,31.0,31.0,31.0,30.0,30.0,32.0,31.0,31.0,70.0,75.0,71.0,71.0,72.0,83.0,73.0,73.0,65.0,63.0,60.0,64.0,66.0,64.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-03-2020,Kerala,33.0,31.0,32.0,32.0,31.0,30.0,31.0,31.0,31.0,31.0,30.0,30.0,32.0,31.0,31.0,70.0,75.0,71.0,71.0,72.0,83.0,73.0,73.0,65.0,63.0,60.0,64.0,66.0,64.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-03-2020,Kerala,33.0,31.0,32.0,32.0,31.0,30.0,31.0,31.0,31.0,31.0,30.0,30.0,32.0,31.0,31.0,70.0,75.0,71.0,71.0,72.0,83.0,73.0,73.0,65.0,63.0,60.0,64.0,66.0,64.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-03-2020,Kerala,33.0,31.0,32.0,32.0,31.0,30.0,31.0,31.0,31.0,31.0,30.0,30.0,32.0,31.0,31.0,70.0,75.0,71.0,71.0,72.0,83.0,73.0,73.0,65.0,63.0,60.0,64.0,66.0,64.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23-03-2020,Kerala,33.0,33.0,32.0,33.0,33.0,32.0,35.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0,31.0,76.0,72.0,77.0,68.0,63.0,57.0,60.0,64.0,64.0,61.0,63.0,72.0,66.0,70.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
25-03-2020,Kerala,31.0,32.0,33.0,33.0,32.0,33.0,33.0,32.0,35.0,33.0,33.0,33.0,32.0,32.0,32.0,69.0,77.0,76.0,72.0,77.0,68.0,63.0,57.0,60.0,64.0,64.0,61.0,63.0,72.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0
25-03-2020,Kerala,31.0,32.0,33.0,33.0,32.0,33.0,33.0,32.0,35.0,33.0,33.0,33.0,32.0,32.0,32.0,69.0,77.0,76.0,72.0,77.0,68.0,63.0,57.0,60.0,64.0,64.0,61.0,63.0,72.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0
02-04-2020,Kerala,33.0,33.0,33.0,33.0,33.0,32.0,32.0,31.0,31.0,32.0,33.0,33.0,32.0,33.0,33.0,59.0,65.0,71.0,71.0,71.0,70.0,65.0,67.0,69.0,77.0,76.0,72.0,77.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,1.0
05-04-2020,Kerala,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,31.0,31.0,32.0,33.0,33.0,74.0,67.0,63.0,59.0,65.0,71.0,71.0,71.0,70.0,65.0,67.0,69.0,77.0,76.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0
06-04-2020,Kerala,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,31.0,31.0,32.0,33.0,76.0,74.0,67.0,63.0,59.0,65.0,71.0,71.0,71.0,70.0,65.0,67.0,69.0,77.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,1.0
08-04-2020,Kerala,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,31.0,31.0,79.0,82.0,76.0,74.0,67.0,63.0,59.0,65.0,71.0,71.0,71.0,70.0,65.0,67.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,1.0
13-03-2020,Kerala,32.0,33.0,32.0,33.0,32.0,31.0,32.0,31.0,31.0,31.0,31.0,30.0,31.0,29.0,31.0,65.0,71.0,70.0,72.0,72.0,68.0,70.0,72.0,78.0,76.0,75.0,67.0,67.0,65.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13-03-2020,Kerala,32.0,33.0,32.0,33.0,32.0,31.0,32.0,31.0,31.0,31.0,31.0,30.0,31.0,29.0,31.0,65.0,71.0,70.0,72.0,72.0,68.0,70.0,72.0,78.0,76.0,75.0,67.0,67.0,65.0,69.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13-03-2020,Kerala,32.0,33.0,32.0,33.0,32.0,31.0,32.0,31.0,31.0,31.0,31.0,30.0,31.0,29.0,31.0,65.0,71.0,70.0,72.0,72.0,68.0,70.0,72.0,78.0,76.0,75.0,67.0,67.0,65.0,69.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15-03-2020,Kerala,32.0,33.0,32.0,33.0,32.0,33.0,32.0,31.0,32.0,31.0,31.0,31.0,31.0,30.0,31.0,69.0,66.0,65.0,71.0,70.0,72.0,72.0,68.0,70.0,72.0,78.0,76.0,75.0,67.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
24-03-2020,Kerala,33.0,33.0,33.0,33.0,34.0,33.0,34.0,35.0,33.0,32.0,33.0,32.0,33.0,32.0,33.0,76.0,77.0,76.0,74.0,72.0,68.0,66.0,64.0,65.0,69.0,66.0,65.0,71.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0
28-03-2020,Kerala,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,33.0,34.0,35.0,33.0,32.0,33.0,67.0,66.0,68.0,72.0,76.0,77.0,76.0,74.0,72.0,68.0,66.0,64.0,65.0,69.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0
28-03-2020,Kerala,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,33.0,34.0,35.0,33.0,32.0,33.0,67.0,66.0,68.0,72.0,76.0,77.0,76.0,74.0,72.0,68.0,66.0,64.0,65.0,69.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0
29-03-2020,Kerala,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,33.0,34.0,35.0,33.0,32.0,69.0,67.0,66.0,68.0,72.0,76.0,77.0,76.0,74.0,72.0,68.0,66.0,64.0,65.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
31-03-2020,Kerala,34.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,33.0,34.0,35.0,69.0,69.0,69.0,67.0,66.0,68.0,72.0,76.0,77.0,76.0,74.0,72.0,68.0,66.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,1.0
31-03-2020,Kerala,34.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,33.0,34.0,35.0,69.0,69.0,69.0,67.0,66.0,68.0,72.0,76.0,77.0,76.0,74.0,72.0,68.0,66.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,1.0
01-04-2020,Kerala,35.0,34.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,33.0,34.0,68.0,69.0,69.0,69.0,67.0,66.0,68.0,72.0,76.0,77.0,76.0,74.0,72.0,68.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0
01-04-2020,Kerala,35.0,34.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,33.0,34.0,68.0,69.0,69.0,69.0,67.0,66.0,68.0,72.0,76.0,77.0,76.0,74.0,72.0,68.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0
02-04-2020,Kerala,34.0,35.0,34.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,33.0,67.0,68.0,69.0,69.0,69.0,67.0,66.0,68.0,72.0,76.0,77.0,76.0,74.0,72.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,1.0
30-01-2020,Kerala,30.0,29.0,29.0,29.0,28.0,29.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,28.0,28.0,77.0,76.0,76.0,68.0,57.0,55.0,52.0,56.0,55.0,55.0,64.0,64.0,72.0,67.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-03-2020,Kerala,33.0,33.0,33.0,32.0,31.0,31.0,31.0,31.0,32.0,31.0,30.0,30.0,30.0,31.0,31.0,78.0,77.0,76.0,77.0,75.0,74.0,74.0,77.0,73.0,73.0,72.0,69.0,67.0,67.0,71.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23-03-2020,Kerala,33.0,32.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,32.0,33.0,33.0,33.0,32.0,77.0,72.0,71.0,74.0,71.0,64.0,67.0,68.0,68.0,67.0,71.0,78.0,77.0,76.0,77.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0
26-03-2020,Kerala,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,32.0,33.0,73.0,72.0,78.0,77.0,72.0,71.0,74.0,71.0,64.0,67.0,68.0,68.0,67.0,71.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
26-03-2020,Kerala,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,32.0,33.0,73.0,72.0,78.0,77.0,72.0,71.0,74.0,71.0,64.0,67.0,68.0,68.0,67.0,71.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
27-03-2020,Kerala,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,32.0,69.0,73.0,72.0,78.0,77.0,72.0,71.0,74.0,71.0,64.0,67.0,68.0,68.0,67.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,1.0
29-03-2020,Kerala,34.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,72.0,69.0,69.0,73.0,72.0,78.0,77.0,72.0,71.0,74.0,71.0,64.0,67.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
31-03-2020,Kerala,35.0,35.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,70.0,70.0,72.0,69.0,69.0,73.0,72.0,78.0,77.0,72.0,71.0,74.0,71.0,64.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,1.0
01-04-2020,Kerala,34.0,35.0,35.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,65.0,70.0,70.0,72.0,69.0,69.0,73.0,72.0,78.0,77.0,72.0,71.0,74.0,71.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0
01-04-2020,Kerala,34.0,35.0,35.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,65.0,70.0,70.0,72.0,69.0,69.0,73.0,72.0,78.0,77.0,72.0,71.0,74.0,71.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0
02-04-2020,Kerala,35.0,34.0,35.0,35.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,68.0,65.0,70.0,70.0,72.0,69.0,69.0,73.0,72.0,78.0,77.0,72.0,71.0,74.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,1.0
03-04-2020,Kerala,34.0,35.0,34.0,35.0,35.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,68.0,68.0,65.0,70.0,70.0,72.0,69.0,69.0,73.0,72.0,78.0,77.0,72.0,71.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,1.0
08-04-2020,Kerala,32.0,33.0,35.0,35.0,35.0,34.0,35.0,34.0,35.0,35.0,34.0,33.0,33.0,33.0,33.0,73.0,73.0,74.0,72.0,69.0,68.0,68.0,65.0,70.0,70.0,72.0,69.0,69.0,73.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,1.0
26-03-2020,Kerala,32.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,33.0,32.0,31.0,31.0,32.0,31.0,30.0,70.0,69.0,72.0,67.0,65.0,65.0,71.0,69.0,66.0,67.0,69.0,67.0,67.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,1.0
30-03-2020,Kerala,33.0,33.0,33.0,34.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,33.0,32.0,31.0,72.0,74.0,73.0,71.0,70.0,69.0,72.0,67.0,65.0,65.0,71.0,69.0,66.0,67.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
30-03-2020,Kerala,33.0,33.0,33.0,34.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,33.0,32.0,31.0,72.0,74.0,73.0,71.0,70.0,69.0,72.0,67.0,65.0,65.0,71.0,69.0,66.0,67.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0
